college_code,college_name,college_type,district,course_code,course_name,course_type
KNK,"Government College of Engineering, Kannur",Government,Kannur,EC,Electronics & Communication Engineering,
KNK,"Government College of Engineering, Kannur",Government,Kannur,EE,Electrical & Electronics Engineering,
KNK,"Government College of Engineering, Kannur",Government,Kannur,ME,Mechanical Engineering,
IDK,"Government Engineering College, Idukki",Government,Idukki,CS,Computer Science & Engineering,
IDK,"Government Engineering College, Idukki",Government,Idukki,EC,Electronics & Communication Engineering,
IDK,"Government Engineering College, Idukki",Government,Idukki,EE,Electrical & Electronics Engineering,
IDK,"Government Engineering College, Idukki",,,IT,Information Technology,
KKD,"Government Engineering College, Kozhikode",Government,Kozhikode,AE,Applied Electronics & Instrumentation,
KKD,"Government Engineering College, Kozhikode",Government,Kozhikode,CE,Civil Engineering,
KKD,"Government Engineering College, Kozhikode",Government,Kozhikode,CH,Chemical Engineering,
KKD,"Government Engineering College, Kozhikode",Government,Kozhikode,EC,Electronics & Communication Engineering,
KKD,"Government Engineering College, Kozhikode",Government,Kozhikode,ME,Mechanical Engineering,
MEC,"Model Engineering College, Thrikkakara (MEC)",Government Controlled (IHRD),Ernakulam,CS,Computer Science & Engineering,
MEC,"Model Engineering College, Thrikkakara (MEC)",Government Controlled (IHRD),Ernakulam,EC,Electronics & Communication Engineering,
MEC,"Model Engineering College, Thrikkakara (MEC)",Government Controlled (IHRD),Ernakulam,EB,Electronics & Biomedical Engineering,
MEC,"Model Engineering College, Thrikkakara (MEC)",Government Controlled (IHRD),Ernakulam,EE,Electrical & Electronics Engineering,
MEC,"Model Engineering College, Thrikkakara (MEC)",Government Controlled (IHRD),Ernakulam,AD,Artificial Intelligence & Data Science,
MA College,"Mar Athanasius College of Engineering, Kothamangalam (MACE)",Government Aided,Ernakulam,CE,Civil Engineering,
MA College,"Mar Athanasius College of Engineering, Kothamangalam (MACE)",Government Aided,Ernakulam,CS,Computer Science & Engineering,
MA College,"Mar Athanasius College of Engineering, Kothamangalam (MACE)",Government Aided,Ernakulam,EC,Electronics & Communication Engineering,
MA College,"Mar Athanasius College of Engineering, Kothamangalam (MACE)",Government Aided,Ernakulam,EE,Electrical & Electronics Engineering,
MA College,"Mar Athanasius College of Engineering, Kothamangalam (MACE)",Government Aided,Ernakulam,ME,Mechanical Engineering,
TKM,"TKM College of Engineering, Kollam",Government Aided,Kollam,CE,Civil Engineering,
TKM,"TKM College of Engineering, Kollam",Government Aided,Kollam,CS,Computer Science & Engineering,
TKM,"TKM College of Engineering, Kollam",Government Aided,Kollam,EC,Electronics & Communication Engineering,
TKM,"TKM College of Engineering, Kollam",Government Aided,Kollam,EE,Electrical & Electronics Engineering,
TKM,"TKM College of Engineering, Kollam",Government Aided,Kollam,ME,Mechanical Engineering,
TKM,"TKM College of Engineering, Kollam",Government Aided,Kollam,CH,Chemical Engineering,
RET,"Rajarshi School of Engineering and Technology (RSET), Kakkanad",Private Self-Financing,Ernakulam,CS,Computer Science & Engineering,
RET,"Rajarshi School of Engineering and Technology (RSET), Kakkanad",Private Self-Financing,Ernakulam,EC,Electronics & Communication Engineering,
RET,"Rajarshi School of Engineering and Technology (RSET), Kakkanad",,Ernakulam,EEE,Electrical & Electronics Engineering,Private Self-Financing
RET,"Rajarshi School of Engineering and Technology (RSET), Kakkanad",Private Self-Financing,Ernakulam,ME,Mechanical Engineering,
RET,"Rajarshi School of Engineering and Technology (RSET), Kakkanad",Private Self-Financing,Ernakulam,AD,Artificial Intelligence & Data Science,
SCT,"SCT College of Engineering, Pappanamcode, TVM",Government Controlled,Thiruvananthapuram,CS,Computer Science & Engineering,
SCT,"SCT College of Engineering, Pappanamcode, TVM",Government Controlled,Thiruvananthapuram,EC,Electronics & Communication Engineering,
SCT,"SCT College of Engineering, Pappanamcode, TVM",Government Controlled,Thiruvananthapuram,ME,Mechanical Engineering (Automobile),
SCT,"SCT College of Engineering, Pappanamcode, TVM",Government Controlled,Thiruvananthapuram,MP,Mechanical Engineering (Production),
SCT,"SCT College of Engineering, Pappanamcode, TVM",Government Controlled,Thiruvananthapuram,BT,Bio-Technology & Biochemical Engineering,
